stuId,stuName,stuSex,stuBirthdate,stuPhone
1,龙公子,f,1980-01-01 00:00:00.000,12345678909
2,苏坤,m,1979-11-21 00:00:00.000,12345678908
3,马伦,m,1982-02-14 00:00:00.000,12345678907
4,王成伟,m,1984-07-11 00:00:00.000,12345678906
5,牛亮亮,m,1977-09-17 00:00:00.000,12345678905
6,令狐冲,m,1989-03-01 00:00:00.000,12345678904
7,DN老毕,m,1986-06-23 00:00:00.000,12345678903
8,柴静,f,1990-05-20 00:00:00.000,12345678902
9,沙尘暴,f,NULL,12345678901
10,老逼养的,m,1988-07-21 00:00:00.000,NULL
11,刘翔,NULL,1981-11-06 00:00:00.000,12345678999
